,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
supports,-1.112388,2.5391161,-0.43166763,0.074230075,1.0855539,-0.8110753,-0.4115485,0.19831066,-1.321107,0.7118061,0.500431,0.59356713,-1.559275,-0.8023598,-0.5709981,0.052341048,1.9473778,0.5452658,0.5370267,-0.51710546,-0.07054369,0.8568133,-0.9630129,-1.4018817,0.87837315,-0.753609,-1.281428,-0.7824297,0.032024927,-0.5340599,1.4405508,1.0442487,-0.7445266,-0.012886197,-0.007864072,-1.3859061,-0.47923195,0.232361,0.7411797,-0.25377104,0.25910997,-0.18382138,0.5856821,-0.043729387,0.7543733,0.26194236,0.36088523,0.7269527,-0.107979365,0.011335458,0.9681305,-0.8543549,-0.89323944,0.72329646,-0.19142044,1.5002416,0.21303478,-0.3629344,-0.8278446,1.2680717,-0.3135985,-2.3103228,-0.11260567,2.262647,0.66895926,0.15889275,0.51479524,1.918948,1.384515,0.8056064,0.04641234,2.3703434,-0.990811,0.90005153,0.81113124,-0.41624564,-1.5140721,-0.8065094,0.33375737,-0.017100463,0.39144346,-0.09170858,1.3013866,-0.73790383,-0.1412457,-0.23010269,-0.27512938,-0.294016,-0.012455801,-0.3836801,-0.42008442,-0.18392049,-1.2772447,-0.6174598,-0.6766319,-0.7656934,-0.29375818,0.057571404,2.403213,-0.77401036
cardinal,2.3798783,-1.8717963,-0.07950326,-0.76775306,0.59104514,2.416516,0.10515988,-0.42771873,-0.46308348,-1.9685097,-1.0248203,0.59821457,-0.05376893,0.84203935,0.41853505,-0.32040533,-1.1539335,0.13513842,1.3764056,-1.7923194,-0.78428197,0.9523396,-1.4709617,0.18851854,1.6882917,-0.78785515,0.7718249,-0.33023304,-1.1638979,-2.715697,0.5293359,1.3415334,-0.27497223,-1.6845217,0.8061464,0.68240094,0.44206533,0.09636684,0.47237277,0.7421978,1.6484904,0.6696468,0.052710153,-0.6918495,-0.23672308,-1.2930366,-1.5328459,0.88214785,0.034447957,0.8262524,-0.20777375,-1.2317228,0.47570083,-0.72305244,0.7551044,-1.1646127,0.92886865,0.77298266,0.7243363,1.8265522,0.29392168,0.10576755,0.24720736,-1.0083169,1.0311655,0.23216462,-0.6416051,0.29270718,-0.40256453,-0.103127494,0.6269239,-0.9723757,0.7094827,-0.131659,0.69506407,-0.03092336,1.3411983,-0.880343,-0.074848294,0.7317122,1.1347451,-0.32729644,-1.4411145,0.36346084,0.24932705,-0.9509597,-1.3461984,1.010761,-0.11214771,-0.23736528,-0.06377333,-0.31230187,-0.58229035,0.083727606,-1.2560315,0.5225512,0.22171201,-0.7326564,1.2988442,0.61743486
nights,1.6209975,-0.15677539,0.33370647,0.6831084,-0.87280107,0.6122886,-0.6049314,1.1930358,-2.488512,0.40104765,-1.1771195,-2.2922876,0.120200254,0.052072886,0.71082646,0.18848401,0.5423313,-0.10972666,1.2602472,-0.9184316,1.5406841,0.671238,-1.6535,0.47831255,-0.16802073,-1.1506755,1.0327885,0.6958064,0.9091852,-0.21147045,-1.1278539,-0.634025,-0.6608943,0.5995174,-0.2252756,-0.2627478,0.58428156,-1.3599962,0.16714871,0.36175492,0.5283119,0.31393263,1.4223711,-1.0103782,-1.1840667,-1.2601495,0.039165113,-1.4614117,2.283938,-1.0930703,0.4383061,0.91997665,-0.6218924,0.27039254,-0.63622797,-0.6587468,-0.30099338,1.6432066,-0.6725845,1.367247,0.7610944,-0.13552275,0.8160729,-1.3821145,-1.2119554,-0.082765244,0.32575038,-0.67933,-0.59732723,-0.6276117,-0.7490948,-0.08987887,1.3064141,1.224663,-0.28094947,-0.2646584,-0.042209383,0.18517993,0.6809132,1.4725475,0.005721606,-1.3507468,-0.96633804,0.08634945,0.23008291,-0.6670188,-0.29687592,-0.9160234,-1.5384449,-1.3163648,-0.9501761,1.3346258,-0.4146343,-0.24912328,-0.10188092,1.3195426,0.47527602,0.9076697,-0.75817245,-2.3895528
office,1.1444205,0.86698973,-0.33104375,-0.8904017,0.24684115,-0.015435138,-0.7947292,-0.06384839,-1.3760997,0.28948557,0.73958534,0.74494207,0.4464292,-0.8199603,0.7557988,-1.7970179,0.058758456,0.84311575,-1.1653143,-0.9572912,-1.8334785,-0.5647859,-0.50312483,2.7389627,0.247829,-1.8185425,0.06050828,0.114814475,1.2122858,-1.6100497,1.3789635,-1.7465036,0.38715807,1.8969635,1.9879731,-0.786125,-0.06878251,-0.55767584,1.7870275,-0.06128971,0.6282447,1.0504158,1.743724,1.5742288,-0.5120644,-0.46372026,-0.3515619,-1.1096232,1.859479,1.4288877,-0.15513897,-1.8084441,-1.7072107,-0.5528729,0.78878474,-1.6531181,-0.108225495,-0.037861276,0.93206364,0.22997937,-0.84312874,-2.4550152,-0.81929356,0.5155323,-0.055743035,-0.36728698,-2.223054,0.36741617,0.37364116,-0.46993804,0.5555995,0.29814696,-0.82786787,1.4626875,1.0180966,0.868279,-1.1931593,0.6287284,-0.012141641,-2.3018057,0.96323323,-0.43953732,-0.9278476,-0.8054884,-0.9544671,0.62427753,-1.3171965,-0.26166233,-0.0047145775,0.040995847,1.0292197,0.16397554,-0.58939445,0.69302946,0.68288296,-0.5451147,1.8814019,-1.2267834,0.3847414,0.10643065
alcohol,0.3223032,1.3476266,-2.3983412,1.024895,0.11405199,1.3354988,1.4354296,0.572689,-0.4012452,0.43710858,-0.9256366,0.8093356,0.4050242,-0.0065824096,-0.8001821,0.03757602,0.39949942,0.01586584,-1.361454,1.4674617,-0.8448996,0.70129603,-1.3365684,0.9219348,0.5044507,-0.65716475,2.7083864,0.35050634,-0.30494782,0.8769578,0.018412974,-1.158006,-0.46183544,-0.7314427,0.30237368,-0.19211662,0.22269042,-1.1587002,0.8831344,1.5810909,-0.80791587,0.3805035,-0.6017986,1.1602411,-1.1022786,-0.354324,-2.4126682,-2.3922105,0.11288105,-0.12405039,0.6009732,-0.3134033,1.1346339,0.5323508,-0.8751725,-0.38365987,0.745077,0.8325604,-0.4509181,-0.4306609,-0.6034715,-0.120803095,1.171187,-1.4652529,-0.93425727,-0.47546956,-1.9763076,-2.2312596,-0.6088832,0.34747082,0.28019506,0.053528003,0.5778185,0.41904536,1.1495314,0.49635285,0.12278922,-0.3347747,1.6370169,-0.6358488,0.9743298,-0.46696952,0.8945478,-0.36156738,0.6609168,-0.22154084,-0.8177054,-0.13661605,-0.24533148,0.43813396,-2.6284947,0.034605324,-0.8510347,1.3956407,-0.5195787,-2.0498917,0.055677846,-0.19209285,0.7688198,-0.8373004
policy,0.71722835,-0.20295258,-1.1300282,-0.65689117,0.66035783,-0.057493616,-1.3653486,-0.32557905,-0.06268367,-1.5890812,-1.2545749,0.26547873,-2.164113,1.1253597,0.40226457,0.65708095,-0.72391784,-0.10203013,-1.3940809,0.6667286,-1.5150516,-0.9454096,-1.4354103,-0.38214326,-0.12697995,0.36556593,1.2065119,-0.87857205,0.15031788,1.0228179,-0.09862818,-0.6298496,0.7348192,-1.2497746,-1.9510481,0.6633998,1.0026025,-0.25809968,-0.63457304,0.036127687,1.3179984,0.008061995,2.463355,0.32701728,-0.049980573,-0.56890506,-0.21285878,-0.8221276,1.4690417,-0.27842972,-0.16291071,-0.6767783,0.6568439,0.5873958,-0.06260524,-1.7905922,0.1890287,0.35573387,-0.23078243,-1.8405067,0.13613127,-2.0901325,1.575646,-0.5052131,2.7136054,-1.0734042,0.65443444,-0.92565733,-0.5320419,-1.1135752,0.56920975,0.6790183,0.3585724,-0.49931335,-0.7839257,-1.6975402,-0.07772681,-0.87093824,0.59692216,-0.006961129,2.5410175,-0.52377516,-1.633408,0.49972996,-1.253056,-1.2073423,-1.0984056,-1.2223576,0.79726017,1.0190889,0.035362076,2.022889,-0.42661306,0.8112689,0.53025734,-0.58047,-0.55586404,0.51680404,-0.9609962,0.46966812
education,0.6288333,-0.53918576,-0.76534194,0.4050818,0.5233667,2.4532673,0.9238856,-0.7926447,0.81878865,1.315218,0.3835501,-0.15375535,-2.384457,-0.52867895,0.5888707,-0.67836034,-1.4148062,1.3721648,0.4002728,0.08987884,-3.1958523,-0.024697963,-0.33347324,-0.7296033,1.384196,-0.40741333,-0.6692602,0.16824847,-1.8810784,-0.47009718,-1.0441208,-0.97413516,0.85126567,0.14213979,1.4166751,0.06297473,-2.6500077,0.8493901,-0.122754306,-0.34982127,1.516648,0.8713727,0.5165582,0.17829508,-0.53688514,-1.1906857,-1.9057068,-1.5697793,0.6654183,1.6118407,0.6513614,-2.7567868,-0.3172913,0.053423174,1.2830899,-0.81920916,0.8156437,-1.3616738,0.92131853,-0.43288916,-0.5267619,-0.72373706,-1.3628602,-0.33573228,0.54794705,0.19573289,0.2190881,-1.2127311,0.97106284,0.46030527,-0.5513056,-0.59872484,-1.297865,0.45847252,-0.14447518,0.65879035,-1.9262096,-0.6197076,-1.3066988,-1.9725302,0.61133075,1.8362569,-0.14887688,1.8457631,0.5776365,1.0792267,-0.41878545,-0.13250448,-0.9626127,0.9098807,-0.24475092,0.20023693,-0.119180836,0.4316084,-1.264642,-0.8065279,-3.0371528,1.5258327,-0.40864167,-0.7844364
computer,-1.1436433,-1.7657145,0.5476669,2.2015202,-0.71088946,-1.4664897,-0.4015455,1.1755606,2.0202353,0.28678837,1.3697164,-0.044270985,-0.02897228,3.2245624,0.64691204,0.785813,0.3989831,-0.7713574,0.10256711,-2.1951106,-1.3404423,-0.44404435,-2.1309602,0.50022006,-0.25927907,-0.054033253,3.1091332,0.1179955,0.57723993,-0.24366194,0.74493617,0.79299957,-1.1255789,0.35002774,0.056956187,1.8443718,-0.7953023,-0.8956777,1.0930741,1.1982672,-0.3432011,-1.5507429,-0.05894006,-0.70353144,0.3164115,0.69847137,1.5043211,0.7207167,0.023402907,1.186415,-0.6507478,0.64431787,-0.8094365,0.56670374,1.253576,0.4781669,-0.3689203,-1.2481209,1.8882735,1.666305,-0.30402,-0.8100079,-1.4558336,0.64245266,-0.85857546,-0.40600276,1.1792699,-0.67134255,0.059343763,-0.6617484,1.2175918,0.6297839,-1.0647706,-0.23948191,-1.2287953,-0.33273354,1.728095,0.47236434,0.52158904,-0.28334045,-0.27930495,-0.50706005,-1.4839015,-0.42136252,-2.5623646,0.19552666,0.45836645,-1.0772505,2.6881151,0.25059676,-0.08375858,1.3633785,0.7297544,0.88612187,1.1036143,0.24426405,-0.8385107,1.2963976,-0.45017943,0.9174814
forum,-0.4669222,0.27702218,0.4448103,0.8630683,1.191072,-1.123747,-1.1659429,0.24688059,-0.12250274,0.31957683,-0.18684271,1.3636249,-0.56247663,-1.5328416,-0.20649274,-0.11279924,0.33761498,0.2884925,-1.0630258,-2.1845388,-0.257168,-0.7396682,-1.8101212,0.6108661,0.78564936,0.2115198,0.3371802,1.4753357,-0.46417353,0.94099027,-0.6146489,-1.0165137,-0.3796035,2.284496,0.16762173,0.5697188,-0.378488,0.028674936,0.2734543,-0.54559445,0.84939283,-2.8300674,1.249021,-0.5906667,-1.3445534,-0.02242813,0.072462946,-0.27468175,-0.23348558,0.22777131,-0.50394136,0.8702739,-0.4798259,-0.8223613,-1.4298464,-0.022184426,-1.2376554,1.0707436,1.5438997,0.19841182,-0.9927489,0.32874203,-1.0651155,-0.5086631,0.08563012,-0.26222426,1.2720977,0.40057856,0.56516397,0.038560413,0.47032064,1.1862439,0.19666724,-0.4158914,-1.5650222,-0.85283786,2.3871315,-1.1727629,2.0874255,-0.32862628,0.2999774,1.2684487,-0.37249255,-1.1594884,-0.13263506,1.080493,0.50005895,1.8816901,0.7721452,0.9600448,1.2054818,1.896493,-1.9232018,-0.83250475,0.83813155,0.907869,-1.2249651,0.32470432,0.7237554,-0.005925089
robert,-0.06429987,-1.087183,0.4221656,-0.021832472,0.96678805,0.5106263,-1.3950012,1.6111295,-1.5740479,-1.1996319,-0.16875926,1.3012453,-0.4663563,0.7387191,1.1144139,0.023277674,0.5280411,-0.43810272,1.1306777,1.3320942,-0.72215897,0.7225922,0.081430525,-0.1884433,0.19972758,0.6103899,1.1299984,0.2431078,-0.35498127,1.4611276,1.59662,0.39832166,-0.49223205,-0.9247724,1.3556696,-0.5398822,0.82338846,1.376721,-0.23929265,0.7751742,0.1307157,0.1754068,0.4872379,0.21882266,1.2448949,0.6192118,-1.3565623,-0.856365,1.675411,0.039482817,-1.4120692,0.19695713,0.9083962,-0.53251094,-0.37520438,-0.7838222,-2.4075553,-0.46162283,0.78269607,-0.26341012,0.09797459,0.79144007,-0.64091504,0.31969476,-0.44236082,0.52625376,-0.5782451,1.5302243,0.9520859,0.19303901,2.587626,2.0388374,0.5624958,0.43944624,-1.5095576,-1.2084808,0.68571836,-1.50358,0.73952526,-1.3017913,-0.2701924,0.13258351,0.86412936,-1.1112003,-0.21818367,1.2969042,0.114776075,0.37016445,0.81315696,-0.006462493,1.4122525,-1.8991328,-2.0500343,-1.0197221,-2.1567173,-0.589046,1.3456357,0.53623164,-0.6060181,0.33231905
